title;company;location;format;salary;tags;source_url;date_found
Senior CRM & Retention Manager;iGaming-оператор (NDA);Кипр / Европа;удалёнка;до $3 000;казино, CRM Smartico/Optimove, релокация на Кипр;https://igamingjobs.io/job/senior-crm-and-retention-manager-at-international-igaming-company-1ezj95t;2026-08-14
VIP Retention Manager;iGaming-оператор (NDA);Remote worldwide;удалёнка;по запросу;VIP, бонусные механики, BI-инструменты;https://igamingjobs.io/job/vip-retention-manager-at-nda-y0bgkc;2026-08-14
CRM Retention Team Lead;Pampas Casino;Remote;удалёнка;по запросу;казино, ретеншн, тимлид;https://igamingjobs.io/job/crm-retention-team-lead-at-pampas-casino-11mclkx;2026-08-14
Affiliate Manager (узбекский рынок);Megapari;Remote;удалёнка;фикс + бонусы;аффилейты, узбекский, трекинг и постбеки;https://igamingjobs.io/job/affiliate-manager-at-megapari-1mqptlf;2026-08-14
Payments Manager (Middle);Multi-brand iGaming IT;Remote;удалёнка;по запросу;платежи, график 2/2;https://igamingjobs.io/job/payments-manager-middle-at-multi-brand-it-company-in-igaming-bubur6;2026-08-14
Account Manager (iGaming);Fintech для iGaming;Remote;удалёнка;до $3 000;аккаунт-менеджмент, B2B, платежи;https://igamingjobs.io/job/account-manager-igaming-at-fintech-company-7ldqm1;2026-08-14
Compliance Officer (шведский);Betsson Group;Мальта;гибрид;по запросу;комплаенс, шведский, Spelinspektionen;https://job-boards.greenhouse.io/betsson/jobs/8096299;2026-08-14
Technical Compliance Officer (Италия);Betsson Group;Мальта;гибрид;по запросу;комплаенс, рынок ADM, сертификация;https://job-boards.greenhouse.io/betsson/jobs/7160552;2026-08-14
Customer Service Agent (немецкий);Betsson Group;Сент-Джулианс, Мальта;гибрид;база + бонус;саппорт, немецкий C1, релокация на Мальту;https://job-boards.greenhouse.io/betsson/jobs/7929697;2026-08-14
Sportsbook Manager;Betsson Group;Мальта;гибрид;по запросу;спортсбук, операционное управление;https://job-boards.greenhouse.io/betsson/jobs/8038344;2026-08-14
Data Engineer (Sportsbook Data);Betsson Group;Мальта;гибрид;по запросу;данные, DWH, спортсбук;https://job-boards.greenhouse.io/betsson/jobs/7535276;2026-08-14
Backend .NET Engineer;Betsson Group;Малага, Испания;гибрид;по запросу;разработка, .NET, игровая платформа;https://job-boards.greenhouse.io/betsson/jobs/7972951;2026-08-14
AI Engineer;Betsson Group;Будапешт, Венгрия;гибрид;по запросу;AI/ML, данные, казино-продукты;https://job-boards.greenhouse.io/betsson/jobs/7774913;2026-08-14
Reconciliations Manager;оператор (через Pentasia);Пьета, Мальта;гибрид;€55 000/год + бонус;платежи и финансы, ACCA/ACA;https://www.pentasia.com/careers/reconciliations-manager-europe-malta-39325-29348;2026-08-14
Sportsbook Operations Senior Manager;оператор (через Pentasia);Лондон / Гибралтар;офис;по запросу;спортсбук, трейдинг-операции;https://www.pentasia.com/careers/sportsbook-operations-senior-manager-gibraltar-united-kingdom-39319-29344;2026-08-14
Senior Java Engineer (PAM);платформа (через Pentasia);Европа;удалёнка ЕС;по запросу;разработка, Java, PAM-платформа;https://www.pentasia.com/careers/senior-java-engineer-pam-europe-39324-29346;2026-08-14
VP of Marketing;оператор (через Pentasia);Нассау, Багамы;офис;по запросу;executive, маркетинг, релокация на Багамы;https://www.pentasia.com/careers/vp-marketing-relocation-to-the-bahamas-other-39335-29350;2026-08-14
LATAM BD Specialist (испанский);iGaming (через Pentasia);LATAM;удалёнка;€50–60K/год;business development, испанский, LATAM;https://www.pentasia.com/careers/latam-bd-specialist-spanish-speaker-igaming-gambling-industry-latam-39333-29349;2026-08-14
Streamer Manager;оператор (через Pentasia);Remote;удалёнка;€45–50K/год;казино, стриминг, маркетинг;https://www.pentasia.com/careers/streamer-manager-remote-39323-29347;2026-08-14
Payment Account Manager (Junior);SOFTSWISS;Грузия / Польша / Сербия;офис;по запросу;платежи, B2B, вход в индустрию;https://careers.softswiss.com/vacancies/payment-account-manager-junior/;2026-08-14
Head of B2B Support and Operations;SOFTSWISS;Грузия / Мальта / Польша;гибрид;по запросу;executive, B2B-саппорт, казино-платформа;https://careers.softswiss.com/vacancies/head-of-b2b-support-and-operations/;2026-08-14
1C Developer (Senior);SOFTSWISS;Worldwide;удалёнка;по запросу;разработка, 1C, финансы;https://careers.softswiss.com/vacancies/1c-developer-senior-3/;2026-08-14
Senior BD Manager (LATAM);GR8 Tech;LATAM / anywhere;удалёнка;по запросу;business development, спортсбук-платформа;https://boards.eu.greenhouse.io/gr8tech/jobs/4944017101;2026-08-14
SEO Specialist (iGaming);SEOJET;Worldwide;удалёнка;$1 500–6 000;SEO, гемблинг, русский C1;https://djinni.co/jobs/831169-seo-specialist-igaming/;2026-08-14
Promo Manager;Gypsy Collective;ЕС / Украина;удалёнка ЕС;по запросу;геймификация, CRM и ретеншн, казино;https://djinni.co/jobs/842903-promo-manager/;2026-08-14
Game Presenter (нидерландский);Evolution;Амстердам → Мальта;офис;по запросу;лайв-казино, нидерландский, релокация;https://careers.smartrecruiters.com/Evolution;2026-08-14
